Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
45,Nathan Peterman,BUF,QB,4,44,81,54.3,296,3.7,1,7,30.68,10,50,5,1,5,19.84
46,Chase Daniel,CHI,QB,4,27,37,73,230,6.2,2,0,106.81,9,-1,-0.1,0,4.7,18.9
47,Sam Bradford,ARI,QB,3,50,80,62.5,400,5,2,4,62.5,2,7,3.5,0,6.2,18.7
48,Matt Barkley,BUF,QB,1,15,25,60,232,9.3,2,0,117.42,3,-2,-0.7,0,17.1,17.08
49,Derek Anderson,BUF,QB,2,42,70,60,465,6.6,0,4,55.95,1,-1,-1,0,6.2,12.5
50,Cody Kessler,JAX,QB,1,21,30,70,156,5.2,1,1,79.31,2,8,4,0,10,10.04
51,Matt Schaub,ATL,QB,2,5,7,71.4,20,2.9,0,0,74.11,1,0,0,0,0.6,1.1
52,Geno Smith,LAC,QB,3,1,4,25,8,2,0,0,39.58,6,4,0.7,0,0.2,0.72
53,Joshua Dobbs,PIT,QB,4,2,3,66.7,19,6.3,0,0,84.03,2,-4,-2,0,0.1,0.36
54,Taylor Heinicke,CAR,QB,3,1,2,50,13,6.5,0,0,70.83,2,-2,-1,0,0.1,0.32
55,Deshone Kizer,GB,QB,1,4,7,57.1,55,7.9,0,1,42.86,0,0,0,0,0.2,0.2
56,AJ McCarron,OAK,QB,2,1,3,33.3,8,2.7,0,0,42.36,3,-2,-0.7,0,0.1,0.12
57,Sean Mannion,LAR,QB,1,0,0,0,0,0,0,0,0,3,1,0.3,0,0.1,0.1
58,Joe Webb,HOU,QB,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Cooper Rush,DAL,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Robert Griffin III,BAL,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Brian Hoyer,NE,QB,3,1,1,100,7,7,0,0,95.83,6,-3,-0.5,0,0,-0.02
62,Brandon Weeden,HOU,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
62,Chad Kelly,DEN,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
64,Matt Cassel,DET,QB,1,2,6,33.3,14,2.3,0,1,2.78,1,-1,-1,0,-0.5,-0.54
65,Jacoby Brissett,IND,QB,4,2,4,50,2,0.5,0,0,56.25,7,-7,-1,0,-0.2,-0.62
66,Teddy Bridgewater,NO,QB,4,0,1,0,0,0,0,0,39.58,7,-7,-1,0,-0.2,-0.7
