Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
42,Cody Kessler,JAX,QB,1,21,30,70,156,5.2,1,1,79.31,2,8,4,0,10,10.04
43,Nathan Peterman,BUF,QB,2,11,30,36.7,85,2.8,1,4,16.67,2,3,1.5,0,1.8,3.7
44,Derek Anderson,BUF,QB,1,20,31,64.5,175,5.6,0,3,39.78,0,0,0,0,3,3
45,Jeff Driskel,CIN,QB,1,4,4,100,39,9.8,0,0,107.29,1,5,5,0,2.1,2.06
46,Matt Schaub,ATL,QB,2,5,7,71.4,20,2.9,0,0,74.11,1,0,0,0,0.6,1.1
47,Deshone Kizer,GB,QB,1,4,7,57.1,55,7.9,0,1,42.86,0,0,0,0,0.2,0.2
48,Sean Mannion,LAR,QB,1,0,0,0,0,0,0,0,0,3,1,0.3,0,0.1,0.1
49,Geno Smith,LAC,QB,2,1,1,100,8,8,0,0,100,3,-3,-1,0,0,0.02
50,Joe Webb,HOU,QB,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Cooper Rush,DAL,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Chad Kelly,DEN,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
53,Chase Daniel,CHI,QB,2,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.1,-0.2
54,Brian Hoyer,NE,QB,1,0,0,0,0,0,0,0,0,3,-3,-1,0,-0.3,-0.3
54,Teddy Bridgewater,NO,QB,1,0,0,0,0,0,0,0,0,3,-3,-1,0,-0.3,-0.3
54,Joshua Dobbs,PIT,QB,1,0,0,0,0,0,0,0,0,1,-3,-3,0,-0.3,-0.3
57,Jacoby Brissett,IND,QB,2,0,1,0,0,0,0,0,39.58,4,-4,-1,0,-0.2,-0.4
58,Matt Cassel,DET,QB,1,2,6,33.3,14,2.3,0,1,2.78,1,-1,-1,0,-0.5,-0.54
