Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
16,Joe Flacco,BAL,QB,8,209,342,61.1,2259,6.6,12,6,84.92,19,45,2.4,0,17.7,141.86
17,Matthew Stafford,DET,QB,7,171,253,67.6,1912,7.6,14,6,98.46,11,43,3.9,0,19.7,137.78
18,Carson Wentz,PHI,QB,6,159,225,70.7,1788,7.9,13,2,109.64,21,89,4.2,0,22.6,135.82
19,Ryan Fitzpatrick,TB,QB,5,98,144,68.1,1550,10.8,13,5,119.27,19,80,4.2,1,26.8,134
20,Eli Manning,NYG,QB,8,215,315,68.3,2377,7.5,8,6,90.93,11,19,1.7,0,16.7,133.98
21,Case Keenum,DEN,QB,8,184,288,63.9,2110,7.3,10,10,82.96,9,35,3.9,1,16.5,131.9
22,Derek Carr,OAK,QB,7,188,261,72,2027,7.8,10,8,94.47,13,36,2.8,1,18.8,131.68
23,Russell Wilson,SEA,QB,7,120,182,65.9,1556,8.5,16,4,112.8,19,77,4.1,0,18.4,128.94
24,Dak Prescott,DAL,QB,7,128,206,62.1,1417,6.9,8,4,87.38,40,236,5.9,2,17,119.28
25,Sam Darnold,NYJ,QB,8,138,250,55.2,1705,6.8,11,10,74.5,30,61,2,1,14.5,116.3
26,Alex Smith,WAS,QB,7,144,228,63.2,1561,6.8,8,2,91.28,34,97,2.9,1,15.3,107.14
27,Baker Mayfield,CLE,QB,6,130,223,58.3,1471,6.6,8,6,78.9,15,91,6.1,0,16.5,98.94
28,CJ Beathard,SF,QB,6,102,169,60.4,1252,7.4,8,7,81.77,19,69,3.6,1,14.7,87.98
29,Jameis Winston,TB,QB,4,96,148,64.9,1181,8,6,10,74.75,19,109,5.7,1,20.8,83.14
30,Marcus Mariota,TEN,QB,6,99,150,66,1030,6.9,3,5,78.47,31,185,6,1,12.6,75.7
31,Ryan Tannehill,MIA,QB,5,85,129,65.9,972,7.5,8,5,92.91,19,91,4.8,0,14.4,71.98
32,Josh Allen,BUF,QB,6,75,139,54,832,6,2,5,61.8,35,155,4.4,3,11.5,68.78
33,Brock Osweiler,MIA,QB,4,75,117,64.1,895,7.6,6,3,93.79,4,17,4.2,0,15.9,63.5
34,Josh Rosen,ARI,QB,6,94,169,55.6,1072,6.3,5,6,69.93,9,48,5.3,0,10.3,61.68
35,Jimmy Garoppolo,SF,QB,3,53,89,59.6,718,8.1,5,3,90,8,33,4.1,0,17,51.02
36,Tyrod Taylor,CLE,QB,3,41,84,48.8,462,5.5,2,2,63.69,16,125,7.8,1,14.3,42.98
37,Nick Foles,PHI,QB,2,54,82,65.9,451,5.5,1,1,78.86,4,7,1.8,0,13.1,26.24
38,Lamar Jackson,BAL,QB,8,6,11,54.5,75,6.8,1,0,106.25,23,129,5.6,1,3.2,25.9
39,Taysom Hill,NO,QB,7,2,3,66.7,54,18,0,0,109.72,21,123,5.9,1,3.1,21.56
40,Sam Bradford,ARI,QB,3,50,80,62.5,400,5,2,4,62.5,2,7,3.5,0,6.2,18.7
41,Blaine Gabbert,TEN,QB,3,25,45,55.6,242,5.4,1,1,68.94,2,2,1,0,4.3,12.88
42,Derek Anderson,BUF,QB,2,42,70,60,465,6.6,0,4,55.95,1,-1,-1,0,6.2,12.5
43,Cody Kessler,JAX,QB,1,21,30,70,156,5.2,1,1,79.31,2,8,4,0,10,10.04
44,Nathan Peterman,BUF,QB,3,13,32,40.6,108,3.4,1,4,20.83,2,3,1.5,0,1.5,4.62
45,Jeff Driskel,CIN,QB,1,4,4,100,39,9.8,0,0,107.29,1,5,5,0,2.1,2.06
46,Matt Schaub,ATL,QB,2,5,7,71.4,20,2.9,0,0,74.11,1,0,0,0,0.6,1.1
47,Taylor Heinicke,CAR,QB,1,1,1,100,13,13,0,0,118.75,2,-2,-1,0,0.3,0.32
48,Deshone Kizer,GB,QB,1,4,7,57.1,55,7.9,0,1,42.86,0,0,0,0,0.2,0.2
49,Sean Mannion,LAR,QB,1,0,0,0,0,0,0,0,0,3,1,0.3,0,0.1,0.1
50,Geno Smith,LAC,QB,2,1,1,100,8,8,0,0,100,3,-3,-1,0,0,0.02
51,Joe Webb,HOU,QB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Cooper Rush,DAL,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Brandon Weeden,HOU,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
53,Chad Kelly,DEN,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
55,Chase Daniel,CHI,QB,2,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.1,-0.2
56,Teddy Bridgewater,NO,QB,2,0,0,0,0,0,0,0,0,3,-3,-1,0,-0.2,-0.3
57,Jacoby Brissett,IND,QB,2,0,1,0,0,0,0,0,39.58,4,-4,-1,0,-0.2,-0.4
57,Joshua Dobbs,PIT,QB,2,0,0,0,0,0,0,0,0,2,-4,-2,0,-0.2,-0.4
59,Brian Hoyer,NE,QB,2,0,0,0,0,0,0,0,0,5,-5,-1,0,-0.2,-0.5
60,Matt Cassel,DET,QB,1,2,6,33.3,14,2.3,0,1,2.78,1,-1,-1,0,-0.5,-0.54
